                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2556,                 7.3776,                0.96313,                0.48143,                0.20988,                0.11831,                0.09084,                0.92233,                 4.5156,                0.82739,              6.816e-05,              6.816e-05,              6.816e-05
                      2,                0.90295,                 3.6263,                0.83503,                0.48056,                0.33779,                0.31542,                0.23313,                0.85336,                 2.3923,                0.82423,             0.00013708,             0.00013708,             0.00013708
                      3,                0.90467,                 2.8475,                0.82998,                0.35687,                0.41079,                0.35422,                0.26758,                0.82806,                 2.0602,                0.81102,             0.00020461,             0.00020461,             0.00020461
                      4,                0.86949,                 2.2607,                0.83172,                0.39022,                 0.5004,                0.43914,                0.31323,                0.85107,                 1.7431,                0.82207,             0.00020667,             0.00020667,             0.00020667
                      5,                0.81058,                  1.923,                0.81297,                0.49025,                0.45988,                0.43316,                0.31676,                0.86354,                 1.7157,                 0.8307,             0.00020457,             0.00020457,             0.00020457
                      6,                0.78101,                  1.679,                0.81818,                0.48668,                0.52504,                 0.5149,                0.38728,                0.81943,                 1.7127,                 0.8184,             0.00020246,             0.00020246,             0.00020246
                      7,                0.81092,                 1.4967,                0.81594,                 0.4407,                0.52806,                0.55481,                0.43664,                0.73274,                  1.417,                0.81001,             0.00020035,             0.00020035,             0.00020035
                      8,                0.75029,                 1.3174,                0.81478,                0.52397,                0.63732,                0.56777,                0.42807,                  0.845,                 1.5804,                0.82386,             0.00019824,             0.00019824,             0.00019824
                      9,                0.74106,                 1.2377,                0.80644,                 0.5454,                0.47737,                0.55652,                0.42701,                0.84079,                 1.4143,                0.82135,             0.00019613,             0.00019613,             0.00019613
                     10,                0.73342,                 1.1527,                0.81836,                0.57189,                0.56052,                0.60953,                0.47103,                0.77694,                  1.499,                0.81445,             0.00019402,             0.00019402,             0.00019402
                     11,                0.71844,                  1.142,                0.80624,                0.62705,                0.61687,                0.67738,                0.53275,                0.72993,                 1.1984,                0.81024,             0.00019191,             0.00019191,             0.00019191
                     12,                0.72221,                 1.0474,                 0.8135,                0.60964,                0.65056,                0.70233,                0.53537,                 0.7831,                 1.1584,                0.82162,              0.0001898,              0.0001898,              0.0001898
                     13,                 0.6951,                0.98485,                0.79218,                0.63468,                0.66389,                0.67309,                0.51612,                0.81275,                 1.1754,                0.81545,              0.0001877,              0.0001877,              0.0001877
                     14,                0.68203,                0.85717,                0.81615,                0.62424,                0.67958,                0.70009,                0.53755,                0.78358,                 1.2202,                0.81584,             0.00018559,             0.00018559,             0.00018559
                     15,                0.66425,                0.89765,                0.79258,                0.67589,                0.59882,                0.69929,                0.54465,                0.76177,                 1.1644,                0.81643,             0.00018348,             0.00018348,             0.00018348
